protocol,train_mode,test_mode,n_folds,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,n_rows_mean
patient,balanced_50_50,balanced_50_50,24,0.7294223284116829,0.14741966232641962,0.819786024857699,0.18812305890100453,0.6311852204350261,0.34937458351529954,0.8276594363883395,0.21317476009188352,0.6420250514001993,0.2841327858229603,0.8536869907658299,0.18130010098339125,7065.25
patient,balanced_50_50,unbalanced_20_80,24,0.7896690334714108,0.14483879632223182,0.6242450478371866,0.2808328705888257,0.6307172417422668,0.3485761874644327,0.8294069814036967,0.21312504374461838,0.5311965962242492,0.2512718645036721,0.8539046994837198,0.18013492749373797,13800.416666666666
patient,unbalanced_20_80,balanced_50_50,24,0.7444207636325643,0.15843241735714828,0.8326887565141897,0.1875915138473538,0.6487267116467121,0.34698758241895167,0.8401148156184163,0.2094543610673102,0.6611095267578245,0.2931446298994368,0.8536264278751201,0.18674457625388896,7065.25
patient,unbalanced_20_80,unbalanced_20_80,24,0.8026457978862286,0.15073870837625075,0.6459894828478261,0.2711846354966768,0.6487653980994071,0.34628032172100376,0.841115897832934,0.20971175366282163,0.5560968991073846,0.26579226963116936,0.8540717436907647,0.18516785201279143,13800.416666666666
seizure,balanced_50_50,balanced_50_50,181,0.7705417281028185,0.1322381446335119,0.9063681086765021,0.18876736327857976,0.5749988441422188,0.2744936171243081,0.9660846120634182,0.04836006406126771,0.6707453282492644,0.2574912618438027,0.9027442010234529,0.12629469501499757,907.2707182320441
seizure,balanced_50_50,unbalanced_20_80,181,0.8875433578599692,0.05719559959647045,0.7981951855194125,0.23139366843957035,0.5748712244511571,0.274739346930878,0.9657113912121721,0.04701326724102492,0.6342386589319686,0.2469651472199873,0.9028106780726068,0.12492707218001316,2143.729281767956
seizure,unbalanced_20_80,balanced_50_50,181,0.7839805331511897,0.13138043686561826,0.9207767447498603,0.16793993501522822,0.5963768219240927,0.26972772124840205,0.9715842443782867,0.039159666471888926,0.6920934119044693,0.2539883281690109,0.9082045235229438,0.12661757465517157,907.2707182320441
seizure,unbalanced_20_80,unbalanced_20_80,181,0.8967285067859635,0.054625439048319194,0.8262267808008021,0.21549653742695643,0.5965782844399342,0.27001241048042945,0.9717660623724708,0.03833415251937488,0.6607090434031523,0.24438912473184987,0.9084431958095938,0.12544169007806244,2143.729281767956
window,balanced_50_50,balanced_50_50,15,0.9288062755636024,0.0027747792483527427,0.9802571137234363,0.002450996323464065,0.8752538209177055,0.006488445394930438,0.9823587302094994,0.002314448951377507,0.9247670973364629,0.003207683514604444,0.987508974173054,0.0012057299578826645,11556.266666666666
window,balanced_50_50,unbalanced_20_80,15,0.9610531421053136,0.0014880263804153142,0.9260098819235459,0.00626497856505041,0.8752538209177055,0.006488445394930438,0.9825029724022155,0.0016571580084130267,0.8998894979041642,0.0038502972471541486,0.9875828398403025,0.0010569350263744033,28890.666666666668
window,unbalanced_20_80,balanced_50_50,15,0.942363055119361,0.0035420534902485938,0.9861427380245466,0.0018835549527129582,0.8973368561922349,0.006718991748318199,0.987389254046487,0.0017254382964316355,0.9396340662929498,0.0038849332431138044,0.9911900426104555,0.0011069161253708345,11556.266666666666
window,unbalanced_20_80,unbalanced_20_80,15,0.9696395340765143,0.0014185076022319861,0.9481126822024375,0.004846732387104962,0.8973368561922349,0.006718991748318199,0.987715203547584,0.0012348474003206218,0.9220049295808348,0.0037593825910143207,0.991286153136871,0.0009680226532967055,28890.666666666668
