protocol,train_mode,test_mode,outer_fold,metrics_path,accuracy,precision,recall,specificity,f1,roc_auc,n_rows,threshold,tn,fp,fn,tp
patient,balanced_50_50,balanced_50_50,outer_fold_000,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/balanced_50_50/outer_fold_000/balanced_50_50/metrics.json,0.8294540229885058,0.7472503773991805,0.9956896551724138,0.6632183908045977,0.8537637058026366,0.9851847998414586,6960,0.42367658019065857,2308,1172,15,3465
patient,balanced_50_50,unbalanced_20_80,outer_fold_000,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/balanced_50_50/outer_fold_000/unbalanced_20_80/metrics.json,0.7251149425287357,0.4208672415887283,0.9956896551724138,0.6574712643678161,0.5916503030820456,0.9851867403223675,17400,0.42367658019065857,9152,4768,15,3465
patient,balanced_50_50,balanced_50_50,outer_fold_001,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/balanced_50_50/outer_fold_001/balanced_50_50/metrics.json,0.9001479289940828,0.8578042328042328,0.959319526627219,0.8409763313609467,0.9057262569832403,0.9656169032947026,2704,0.13946470618247986,1137,215,55,1297
patient,balanced_50_50,unbalanced_20_80,outer_fold_001,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/balanced_50_50/outer_fold_001/unbalanced_20_80/metrics.json,0.8760355029585799,0.6235576923076923,0.959319526627219,0.8552144970414202,0.7558275058275058,0.9693394729701341,6760,0.13946470618247986,4625,783,55,1297
patient,balanced_50_50,balanced_50_50,outer_fold_002,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/balanced_50_50/outer_fold_002/balanced_50_50/metrics.json,0.6462025316455696,0.9925373134328358,0.294620253164557,0.9977848101265823,0.4543679843826257,0.9802080996635153,6320,0.947098970413208,3153,7,2229,931
patient,balanced_50_50,unbalanced_20_80,outer_fold_002,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/balanced_50_50/outer_fold_002/unbalanced_20_80/metrics.json,0.8565189873417721,0.9607843137254902,0.294620253164557,0.9969936708860759,0.45095664809881325,0.9792244832558885,15800,0.947098970413208,12602,38,2229,931
patient,balanced_50_50,balanced_50_50,outer_fold_003,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/balanced_50_50/outer_fold_003/balanced_50_50/metrics.json,0.9172794117647058,0.911638641608968,0.9241310160427807,0.910427807486631,0.9178423236514524,0.9697498811447282,5984,0.3285461962223053,2724,268,227,2765
patient,balanced_50_50,unbalanced_20_80,outer_fold_003,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/balanced_50_50/outer_fold_003/unbalanced_20_80/metrics.json,0.9151069518716578,0.7261029411764706,0.9241310160427807,0.912850935828877,0.8132352941176471,0.9696140186218509,14960,0.3285461962223053,10925,1043,227,2765
patient,balanced_50_50,balanced_50_50,outer_fold_004,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/balanced_50_50/outer_fold_004/balanced_50_50/metrics.json,0.8283227848101266,0.7649097209556812,0.9480108499095841,0.708634719710669,0.846674068840214,0.9557010564600779,8848,0.8976365923881531,3135,1289,230,4194
patient,balanced_50_50,unbalanced_20_80,outer_fold_004,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/balanced_50_50/outer_fold_004/unbalanced_20_80/metrics.json,0.761437908496732,0.4536059312514042,0.9425770308123249,0.7161531279178338,0.6124677688457454,0.952252088199114,10710,0.8976365923881531,6136,2432,123,2019
patient,balanced_50_50,balanced_50_50,outer_fold_005,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/balanced_50_50/outer_fold_005/balanced_50_50/metrics.json,0.6826923076923077,0.620253164556962,0.9423076923076923,0.4230769230769231,0.748091603053435,0.7763704826641888,2288,0.10194592922925949,484,660,66,1078
patient,balanced_50_50,unbalanced_20_80,outer_fold_005,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/balanced_50_50/outer_fold_005/unbalanced_20_80/metrics.json,0.5006993006993007,0.27869700103412615,0.9423076923076923,0.3902972027972028,0.43016759776536306,0.7667913926108857,5720,0.10194592922925949,1786,2790,66,1078
