model_name,protocol,train_mode,test_mode,n_folds,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,n_rows_mean
cnn,patient,balanced_50_50,balanced_50_50,23,0.7084531279179095,0.16303139778600895,0.8505720795343868,0.18533983200192303,0.5117909345698779,0.3237292255848363,0.905115321265941,0.1551520191938638,0.5813398250415905,0.2921583816689823,0.8417897667008176,0.1931968497464186,7372.434782608696
cnn,patient,balanced_50_50,unbalanced_20_80,23,0.8288598993225239,0.12241741551911044,0.6905254020366072,0.2871251270273505,0.5112629928838407,0.32325450648259046,0.9082591259321945,0.14926003281853156,0.5193882097672645,0.26781515204596634,0.8425884971934612,0.19080306012459214,14400.434782608696
cnn,patient,unbalanced_20_80,balanced_50_50,23,0.7153414011282692,0.16816281876287595,0.8646194839213664,0.16817635208068946,0.5261978788909438,0.32711097334424477,0.9044849233655946,0.16185664265828076,0.5931185746201979,0.2957812719009841,0.8525716948351877,0.18279845979840145,7372.434782608696
cnn,patient,unbalanced_20_80,unbalanced_20_80,23,0.831142021341743,0.12934207247907215,0.7066640954097395,0.27032902584880825,0.526036678862896,0.3265146872869413,0.9074183569614548,0.15625270657779455,0.5318349506085275,0.2730447324654453,0.8537414114430366,0.17985092544197917,14400.434782608696
cnn,seizure,balanced_50_50,balanced_50_50,181,0.7709850766956999,0.13113801245236437,0.9052108335486746,0.19754011614628203,0.5751642122652763,0.2721238391311445,0.9668059411261236,0.046760256438325945,0.6720678285986741,0.2548293758256325,0.9019187908073438,0.12733947319933975,907.2707182320441
cnn,seizure,balanced_50_50,unbalanced_20_80,181,0.8881092460516675,0.056392826891410834,0.7982809659916503,0.23413982764462835,0.5750092557561189,0.2723309516440922,0.9663842436255549,0.04538091517491018,0.6360894560873894,0.24446655765135827,0.9020519297391578,0.12633853126597017,2143.729281767956
cnn,seizure,unbalanced_20_80,balanced_50_50,181,0.7852412836852667,0.13296130960292818,0.9176779334609554,0.17789057080828874,0.5987371428183167,0.27265758037825494,0.9717454245522167,0.04061590920299553,0.6931436281481269,0.2570224227443164,0.9082619361480125,0.12570854176149893,907.2707182320441
cnn,seizure,unbalanced_20_80,unbalanced_20_80,181,0.897080648712744,0.05593009048351651,0.8246843497608713,0.22091182403747642,0.5987961007811606,0.2730164089550052,0.9716517856956398,0.039833794650356705,0.6616335117087161,0.24779237856102135,0.908223484015175,0.12473625144149915,2143.729281767956
cnn,window,balanced_50_50,balanced_50_50,15,0.9212761047652014,0.0052125135400525255,0.97983617711703,0.0021308423882911596,0.8602630668051229,0.010798292866675992,0.9822891427252798,0.0019631590547102063,0.9161279383588643,0.006055795847840857,0.9836260381470271,0.0017927571670111279,11556.0
cnn,window,balanced_50_50,unbalanced_20_80,15,0.9578031614168686,0.0013855178095898172,0.9235894594728682,0.005335646659191239,0.8602630668051229,0.010798292866675992,0.982188185069805,0.001509648091578736,0.890740005601096,0.004303467494495741,0.9836002715547764,0.0014696327701275206,28890.0
cnn,window,unbalanced_20_80,balanced_50_50,15,0.9319718472366447,0.0030482460943177985,0.9852379137204107,0.0024330799837243462,0.8770970347294335,0.006762049069781769,0.986846659743856,0.0022499134648667376,0.928010223011716,0.0034906583463219236,0.9871518890378966,0.001239358406400522,11556.0
cnn,window,unbalanced_20_80,unbalanced_20_80,15,0.9649198107765086,0.0011620123561408714,0.9435877194782094,0.00610725238578803,0.8770970347294335,0.006762049069781769,0.9868755047882775,0.0015723856779631372,0.9090949113006747,0.0031221430376055927,0.9871433498463974,0.0012764987157367418,28890.0
lstm,seizure,unbalanced_20_80,balanced_50_50,181,0.9797100075730016,0.03205026512349649,0.9840264311673876,0.01735986167439757,0.9752885834334165,0.058894177556031976,0.9841314317125868,0.017655203100895214,0.9786108538651687,0.03924629333556574,0.9959168117444047,0.007938389873047506,907.2707182320441
lstm,window,unbalanced_20_80,balanced_50_50,15,0.8481596861659166,0.01294943785285437,0.9040977629634969,0.009729581442725344,0.7789546555901696,0.02406576572974698,0.9173647167416639,0.008650265589101066,0.8367058090523277,0.015747788439841873,0.9335981366320961,0.007324727284972347,11556.0
