protocol,train_mode,shard_name,smoke,status,device,completed_folds,failed_folds,started_at,finished_at,test_modes,status_path
patient,balanced_50_50,shard_00_of_01,False,done,cuda,24,0,2026-03-19T21:30:29.363352+00:00,2026-03-19T21:48:22.732972+00:00,"balanced_50_50,unbalanced_20_80",/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold5_cnn_training/runs/patient/balanced_50_50/shard_00_of_01/status.json
patient,unbalanced_20_80,shard_00_of_01,False,done,cuda,24,0,2026-03-19T22:01:45.904434+00:00,2026-03-19T22:27:30.187248+00:00,"balanced_50_50,unbalanced_20_80",/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold5_cnn_training/runs/patient/unbalanced_20_80/shard_00_of_01/status.json
seizure,balanced_50_50,shard_00_of_03,False,done,cuda,61,0,2026-03-19T20:56:28.591218+00:00,2026-03-19T22:11:51.798774+00:00,"balanced_50_50,unbalanced_20_80",/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold5_cnn_training/runs/seizure/balanced_50_50/shard_00_of_03/status.json
seizure,balanced_50_50,shard_01_of_03,False,done,cuda,60,0,2026-03-19T20:56:28.365945+00:00,2026-03-19T22:06:08.718105+00:00,"balanced_50_50,unbalanced_20_80",/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold5_cnn_training/runs/seizure/balanced_50_50/shard_01_of_03/status.json
seizure,balanced_50_50,shard_02_of_03,False,done,cuda,60,0,2026-03-19T20:56:29.036513+00:00,2026-03-19T22:06:35.062733+00:00,"balanced_50_50,unbalanced_20_80",/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold5_cnn_training/runs/seizure/balanced_50_50/shard_02_of_03/status.json
seizure,unbalanced_20_80,shard_00_of_03,False,done,cuda,61,0,2026-03-19T20:56:28.483453+00:00,2026-03-19T22:43:51.642411+00:00,"balanced_50_50,unbalanced_20_80",/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold5_cnn_training/runs/seizure/unbalanced_20_80/shard_00_of_03/status.json
seizure,unbalanced_20_80,shard_01_of_03,False,done,cuda,60,0,2026-03-19T20:56:28.810037+00:00,2026-03-19T22:40:17.571460+00:00,"balanced_50_50,unbalanced_20_80",/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold5_cnn_training/runs/seizure/unbalanced_20_80/shard_01_of_03/status.json
seizure,unbalanced_20_80,shard_02_of_03,False,done,cuda,60,0,2026-03-19T20:56:28.699301+00:00,2026-03-19T22:43:12.120004+00:00,"balanced_50_50,unbalanced_20_80",/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold5_cnn_training/runs/seizure/unbalanced_20_80/shard_02_of_03/status.json
window,balanced_50_50,shard_00_of_01,False,done,cuda,15,0,2026-03-19T20:56:27.812847+00:00,2026-03-19T21:30:25.770272+00:00,"balanced_50_50,unbalanced_20_80",/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold5_cnn_training/runs/window/balanced_50_50/shard_00_of_01/status.json
window,unbalanced_20_80,shard_00_of_01,False,done,cuda,15,0,2026-03-19T20:56:28.923861+00:00,2026-03-19T22:01:42.450003+00:00,"balanced_50_50,unbalanced_20_80",/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold5_cnn_training/runs/window/unbalanced_20_80/shard_00_of_01/status.json
